HTRU1 → HTRU2,Accuracy,Precision,Recall,F1,MCC
All Features,0.9775393898759638,0.9268461007591442,0.8194020744356315,0.8698186528497409,0.8595284993694441
Low VIF,0.9808917197452229,0.9615658362989323,0.8242830994508847,0.8876478318002629,0.8803824631837076
Top Importance,0.971728684769248,0.8516449410304159,0.8370957901159244,0.8443076923076923,0.8287989448541128
Top Importance + Low VIF,0.9664767013074087,0.9474590869939707,0.6711409395973155,0.7857142857142857,0.7815569513512016
