,Accuracy,Precision,Recall,F1,MCC
HTRU1,0.9996162070288941,0.9754098360655737,0.99581589958159,0.9855072463768116,0.9853670213664962
HTRU2,0.9840782122905027,0.9385113268608414,0.8841463414634146,0.9105180533751962,0.9022718996111506
