HTRU2 → HTRU1,Accuracy,Precision,Recall,F1,MCC
All Features,0.996765031636894,0.8148148148148148,0.9749163879598662,0.8877046060144652,0.8897483627337465
Low VIF,0.9949885405357984,0.7367072389493914,0.9615384615384616,0.83424011606819,0.8393549451373259
Top Importance,0.9964141198144554,0.8173849525200877,0.93561872909699,0.8725146198830409,0.8727487335098716
Top Importance + Low VIF,0.9941770569464092,0.7058823529411765,0.9531772575250836,0.8110992529348986,0.8176262669520812
