Feature,Target_Corr,Importance,Abs_Target_Corr,VIF,Importance_Rank,Corr_Rank
Profile_mean,-0.3098632234013049,0.0016218497,0.3098632234013049,122.95471301832005,17.0,10.0
Profile_stdev,-0.0840524877027422,0.0023484922,0.0840524877027422,111.65565095433982,12.0,20.0
Profile_skewness,0.5452766606152073,0.6411398,0.5452766606152073,15.80663173986086,1.0,4.0
Profile_kurtosis,0.6009552268405588,0.0011587385,0.6009552268405588,7.34284742378326,20.0,3.0
DM_mean,-0.17414783179753754,0.00046042074,0.17414783179753754,148.95631116304145,28.0,17.0
DM_stdev,0.0585249586643346,0.0023211592,0.0585249586643346,71.83727161853355,13.0,21.0
DM_skewness,0.17789239524718115,0.001391671,0.17789239524718115,6.979250688928192,18.0,16.0
DM_kurtosis,0.18945052325171807,0.0010226485,0.18945052325171807,2.735028935125536,23.0,14.0
Score1,0.6960520844172678,0.0013893434,0.6960520844172678,16.671839392530504,19.0,2.0
Score2,0.7805788344367587,0.004900798,0.7805788344367587,7.000362908947326,6.0,1.0
Score3,-0.31916537151929303,0.0035258478,0.31916537151929303,20.276977169890817,9.0,8.0
Score4,0.31009317021163935,0.11270232,0.31009317021163935,5.522741074092748,3.0,9.0
Score5,-0.005542247555996727,0.0002849505,0.005542247555996727,1.6788203199863219,29.0,29.0
Score6,-0.3203510437767658,0.0011323249,0.3203510437767658,15.697325068399334,21.0,7.0
Score7,-0.008703100733696026,0.002234731,0.008703100733696026,1.660370436574096,14.0,28.0
Score8,-0.026212269858642206,0.000917126,0.026212269858642206,1.127339309110767,24.0,25.0
Score9,-0.23701067143000537,0.0043132203,0.23701067143000537,12.850338855827017,7.0,12.0
Score10,0.018673277899687514,0.00025934316,0.018673277899687514,1.0009014764307391,30.0,27.0
Score11,-0.020366512984247732,0.01834105,0.020366512984247732,1.0624634051609654,4.0,26.0
Score12,0.16824662149028333,0.0026534095,0.16824662149028333,1.5897789683312982,11.0,18.0
Score13,0.3242584429379099,0.16785373,0.3242584429379099,8.162229089697647,2.0,6.0
Score14,0.03653959794701135,0.013577825,0.03653959794701135,2.66507115170117,5.0,24.0
Score15,-0.03924231996701052,0.003123944,0.03924231996701052,7.987813730302426,10.0,23.0
Score16,0.22803562580414438,0.0042327535,0.22803562580414438,10.89031024259731,8.0,13.0
Score17,-0.1829697419337496,0.0006208407,0.1829697419337496,16.19430400265995,27.0,15.0
Score18,0.0003421172356620011,0.0011035035,0.0003421172356620011,1.0135148410470056,22.0,30.0
Score19,-0.1265309458979104,0.00084072823,0.1265309458979104,7.497229265058972,26.0,19.0
Score20,-0.05748465151941925,0.00087566825,0.05748465151941925,5.189795591720212,25.0,22.0
Score21,0.28069490878496267,0.0017946344,0.28069490878496267,8.639346142027653,16.0,11.0
Score22,0.4139003292864345,0.001857149,0.4139003292864345,77.22207219626624,15.0,5.0
